"1998-10-19","2000-03-05",15,"UNIFFAC Cup"
"1998-10-19","2000-03-05",13,"CECAFA Cup"
"1998-10-19","2000-03-05",13,"Cyprus International Tournament"
"2000-03-05","2001-02-28",10,"Oceania Nations Cup"
"2000-03-05","2001-02-28",8,"King's Cup"
"2000-03-05","2001-02-28",7,"United Arab Emirates Friendship Tournament"
"2000-03-05","2001-02-28",6,"USA Cup"
"2000-03-05","2001-02-28",5,"Nordic Championship"
"2000-03-05","2001-02-28",5,"CFU Caribbean Cup qualification"
"2000-03-05","2001-02-28",4,"King Hassan II Tournament"
"2000-03-05","2001-02-28",4,"Merdeka Tournament"
"2000-03-05","2001-02-28",3,"Kirin Cup"
"2000-03-05","2001-02-28",3,"Cyprus International Tournament"
"2000-03-05","2001-02-28",2,"Lunar New Year Cup"
"2000-03-05","2001-02-28",2,"Cup of Ancient Civilizations"
"2000-03-05","2001-02-28",1,"Baltic Cup"
"2000-03-05","2001-02-28",352,"Friendly"
"2000-03-05","2001-02-28",321,"FIFA World Cup qualification"
"2000-03-05","2001-02-28",69,"African Cup of Nations qualification"
"2000-03-05","2001-02-28",38,"AFC Asian Cup qualification"
"2000-03-05","2001-02-28",31,"UEFA Euro"
"2000-03-05","2001-02-28",26,"AFC Asian Cup"
"2000-03-05","2001-02-28",20,"AFF Championship"
"2000-03-05","2001-02-28",16,"WAFF Championship"
"2000-03-05","2001-02-28",15,"Millennium Cup"
"2000-03-05","2001-02-28",15,"Amílcar Cabral Cup"
"2000-03-05","2001-02-28",13,"COSAFA Cup"
"2000-03-05","2001-02-28",12,"CECAFA Cup"
"2000-03-05","2001-02-28",12,"Oceania Nations Cup qualification"
"2001-02-28","2002-02-14",445,"FIFA World Cup qualification"
"2001-02-28","2002-02-14",248,"Friendly"
"2001-02-28","2002-02-14",33,"African Cup of Nations qualification"
"2001-02-28","2002-02-14",32,"African Cup of Nations"
"2001-02-28","2002-02-14",26,"Copa América"
"2001-02-28","2002-02-14",24,"Island Games"
"2001-02-28","2002-02-14",24,"CFU Caribbean Cup qualification"
"2001-02-28","2002-02-14",20,"Gold Cup"
"2001-02-28","2002-02-14",17,"CECAFA Cup"
"2001-02-28","2002-02-14",16,"Confederations Cup"
"2001-02-28","2002-02-14",16,"CFU Caribbean Cup"
"2001-02-28","2002-02-14",15,"Gulf Cup"
"2001-02-28","2002-02-14",15,"UNCAF Cup"
"2001-02-28","2002-02-14",11,"COSAFA Cup"
"2001-02-28","2002-02-14",9,"Amílcar Cabral Cup"
"2001-02-28","2002-02-14",9,"Merdeka Tournament"
"2001-02-28","2002-02-14",6,"Prime Minister's Cup"
"2001-02-28","2002-02-14",6,"Malta International Tournament"
"2001-02-28","2002-02-14",6,"Windward Islands Tournament"
"2001-02-28","2002-02-14",5,"King's Cup"
"2001-02-28","2002-02-14",5,"Cyprus International Tournament"
"2001-02-28","2002-02-14",3,"SKN Football Festival"
"2001-02-28","2002-02-14",3,"Kirin Cup"
"2001-02-28","2002-02-14",3,"Baltic Cup"
"2001-02-28","2002-02-14",2,"Gold Cup qualification"
"2001-02-28","2002-02-14",1,"Lunar New Year Cup"
"2002-02-14","2003-06-11",481,"Friendly"
"2002-02-14","2003-06-11",132,"UEFA Euro qualification"
"2002-02-14","2003-06-11",73,"African Cup of Nations qualification"
"2002-02-14","2003-06-11",64,"FIFA World Cup"
"2002-02-14","2003-06-11",45,"Gold Cup qualification"
"2002-02-14","2003-06-11",24,"CECAFA Cup"
"2002-02-14","2003-06-11",20,"AFF Championship"
"2002-02-14","2003-06-11",19,"AFC Asian Cup qualification"
